ori_node,des_node,ori_layer,des_layer,minutes,km
18302,127517,5,5,1,0.248
18302,134302,5,5,1,0.493
18302,137451,5,5,1,0.546
18302,217378,5,5,10,5.243
36028,36028,5,5,1,0
36028,119057,5,5,1,0.734
36028,122994,5,5,5,0.45
36028,128764,5,5,1,0.354
36378,36378,5,5,1,0
36378,123277,5,5,3,0.67
36378,199735,5,5,2,0.47
36378,221424,5,5,1,0.371
36378,231023,5,5,1,0.464
36378,255941,5,5,1,0.371
52127,229163,5,5,1,0.187
52315,72151,5,5,1,0.262
52315,209849,5,5,4,0.689
52315,229389,5,5,10,1.137
52903,134839,5,5,1,0.766
52905,211492,5,5,1,0.939
52905,211493,5,5,2,1.292
52905,211496,5,5,2,0.992
53135,192146,5,5,1,0.246
53711,82720,5,5,3,1.629
53712,69762,5,5,2,0.835
53713,157338,5,5,1,0.222
53714,178239,5,5,1,0.46
55047,109693,5,5,1,0.681
55047,249149,5,5,1,0.493
55047,253658,5,5,4,2.304
55047,253659,5,5,2,2.235
55048,124817,5,5,1,0.294
55061,242829,5,5,8,2.875
55966,156534,5,5,1,0.604
55966,165897,5,5,2,1.321
55966,258905,5,5,7,2.525
55968,250025,5,5,1,0.419
55969,156534,5,5,1,0.604
55970,140425,5,5,2,1.279
55983,159814,5,5,1,0.859
56255,174098,5,5,1,0.626
56255,226046,5,5,15,3.42
56456,229865,5,5,1,0.209
56580,190187,5,5,1,0.38
56583,160498,5,5,1,0.634
56583,220162,5,5,2,0.981
57269,77018,5,5,4,1.79
57270,208803,5,5,1,0.116
57731,57736,5,5,1,0.495
57731,94807,5,5,2,1.235
57736,258907,5,5,1,0.343
57737,166390,5,5,1,0.442
57857,205130,5,5,1,0.888
57858,142835,5,5,3,2.583
57859,151082,5,5,1,0.206
58378,139283,5,5,4,2.241
59135,193894,5,5,1,0.52
59209,113603,5,5,1,0.639
59209,185830,5,5,1,0.154
59210,59212,5,5,1,0.214
59211,59217,5,5,1,0.188
59211,185829,5,5,1,0.117
59212,53135,5,5,1,0.411
59213,185831,5,5,1,0.263
59214,172563,5,5,1,0.555
59214,234406,5,5,2,0.518
59215,185833,5,5,1,0.109
59216,185832,5,5,1,0.118
59217,205103,5,5,1,0.571
59232,78775,5,5,1,0.186
59232,164589,5,5,1,0.18
59233,88535,5,5,1,0.163
59234,77013,5,5,1,0.598
59234,211494,5,5,1,0.385
59548,93860,5,5,4,3.343
59548,95877,5,5,6,4.255
59549,93860,5,5,5,3.361
59549,174393,5,5,4,3.312
59894,112670,5,5,1,0.23
60206,188294,5,5,1,0.056
60207,140694,5,5,1,0.341
60208,78772,5,5,3,0.196
60208,97215,5,5,1,0.305
60208,142802,5,5,1,0.176
60209,60211,5,5,1,0.376
60210,72016,5,5,1,0.247
60210,76226,5,5,3,1.819
60211,97216,5,5,1,0.193
60212,60210,5,5,1,0.26
60213,141989,5,5,4,0.869
60213,248271,5,5,1,0.299
61242,183878,5,5,2,0.763
61242,217709,5,5,2,0.784
61244,205904,5,5,1,0.587
61968,226696,5,5,1,0.861
61968,244231,5,5,5,2.317
62861,69762,5,5,2,0.738
62861,103500,5,5,1,0.224
64759,219717,5,5,1,0.247
64759,219719,5,5,1,0.178
64803,229871,5,5,2,0.43
64976,108604,5,5,1,0.245
65050,65055,5,5,1,0.236
65055,88531,5,5,1,0.152
65055,176040,5,5,1,1.439
65350,86723,5,5,1,0.514
65350,94320,5,5,1,0.345
65353,97222,5,5,1,0.276
65591,159810,5,5,1,0.189
65876,83125,5,5,1,0.293
65876,184133,5,5,2,0.68
65877,185826,5,5,1,0.441
65877,210256,5,5,1,0.3
66033,152748,5,5,1,0.158
66041,141659,5,5,1,0.597
66054,157337,5,5,1,0.708
66479,74773,5,5,3,0.604
66479,146955,5,5,3,0.554
66479,229397,5,5,1,0.103
67337,141198,5,5,1,0.46
67337,249762,5,5,5,0.867
67383,166262,5,5,1,0.25
67383,166596,5,5,1,0.246
67426,180483,5,5,1,0.491
67427,67430,5,5,1,0.266
67428,249122,5,5,1,0.545
67429,67427,5,5,1,0.389
67429,221420,5,5,1,0.319
67430,67431,5,5,1,0.374
67431,164325,5,5,1,0.35
67432,67426,5,5,1,0.3
67433,67432,5,5,1,0.404
67433,174096,5,5,3,0.599
67434,67433,5,5,2,0.467
68467,66033,5,5,1,1.981
68467,109679,5,5,3,1.284
68467,152748,5,5,2,2.139
68787,199632,5,5,1,0.098
68788,68787,5,5,1,0.151
69202,259715,5,5,1,0.31
69204,128130,5,5,1,0.121
69210,117377,5,5,1,0.219
69264,165429,5,5,1,0.137
69600,84177,5,5,1,0.24
