node,layer,lat,lon,degree,geometry
17080,4,50.74237,-1.69615,12,"-1.69615, 50.74237"
17847,4,50.72758,-1.9192,39,"-1.9192, 50.72758"
22719,4,50.7382,-1.78455,48,"-1.78455, 50.7382"
27778,4,50.75574,-1.65781,48,"-1.65781, 50.75574"
28846,4,50.72753,-1.86394,58,"-1.86394, 50.72753"
46638,4,50.72234,-1.89978,14,"-1.89978, 50.72234"
99726,4,50.84711,-1.79175,30,"-1.79175, 50.84711"
109630,4,50.74306,-1.89859,19,"-1.89859, 50.74306"
178091,4,50.72801,-1.83797,10,"-1.83797, 50.72801"
219445,4,50.71668,-1.87733,9,"-1.87733, 50.71668"
