ori_node,des_node,ori_layer,des_layer,minutes,km
194,21956,3,3,3,1.606
194,30086,3,3,3,2.022
291,3986,3,3,2,0.87
291,19542,3,3,2,1.507
291,22548,3,3,2,0.883
291,42656,3,3,2,1.635
291,49356,3,3,2,1.57
320,30485,3,3,1,0.657
320,39927,3,3,2,0.498
373,22546,3,3,3,1.928
373,46316,3,3,1,0.436
507,8632,3,3,1,0.538
507,47677,3,3,2,0.816
531,18367,3,3,2,1.311
531,39791,3,3,2,1.648
598,21715,3,3,2,1.25
598,31540,3,3,1,0.776
725,19677,3,3,1,0.498
725,41140,3,3,1,0.701
759,18006,3,3,2,2.542
808,2656,3,3,2,1.528
808,12953,3,3,2,2.128
844,17736,3,3,5,3.662
844,20998,3,3,2,1.573
994,3140,3,3,2,0.928
994,40164,3,3,2,0.703
1065,15342,3,3,2,0.891
1133,1133,3,3,1,0
1133,7300,3,3,3,1.861
1133,12281,3,3,1,1.652
1163,9011,3,3,1,1.297
1163,12626,3,3,1,1.042
1231,2880,3,3,4,3.051
1231,30332,3,3,4,3.47
1231,48937,3,3,4,2.301
1380,32451,3,3,2,1.462
1385,41465,3,3,1,0.668
1385,43530,3,3,2,0.894
1426,13258,3,3,1,0.542
1426,48217,3,3,1,0.617
1481,10843,3,3,3,2.846
1481,23449,3,3,2,1.278
1593,1593,3,3,1,0
1593,39652,3,3,2,0.491
1593,43935,3,3,1,0.415
1593,46796,3,3,3,0.726
1625,12153,3,3,2,0.598
1625,28259,3,3,2,0.567
1625,34764,3,3,1,0.361
2175,7300,3,3,3,2.175
2175,28622,3,3,2,2.02
2484,34142,3,3,3,2.121
2484,42849,3,3,1,1.181
2537,7757,3,3,2,1.191
2537,17690,3,3,2,1.074
2537,72456,3,3,1,0.885
2656,808,3,3,2,1.528
2656,2880,3,3,3,2.162
2793,13509,3,3,1,0.73
2793,26344,3,3,2,1.21
2837,14695,3,3,2,1.469
2837,20620,3,3,3,2.777
2837,42656,3,3,3,1.832
2837,161902,3,3,2,1.14
2880,1231,3,3,4,3.051
2880,2656,3,3,2,2.162
2880,42596,3,3,9,8.642
2880,48937,3,3,4,2.02
2951,15869,3,3,3,2.438
2951,31168,3,3,2,0.986
2951,33913,3,3,2,1.452
3140,994,3,3,1,0.928
3140,18664,3,3,1,0.853
3498,7132,3,3,2,1.284
3498,18835,3,3,1,1.01
3498,32217,3,3,2,1.147
3498,49630,3,3,2,1.554
3522,34142,3,3,2,3.577
3767,29664,3,3,2,0.432
3767,31457,3,3,1,0.619
3986,291,3,3,2,0.87
3986,32573,3,3,1,0.568
4185,38876,3,3,2,1.43
4185,39998,3,3,2,1.773
4251,32625,3,3,2,0.896
4251,44267,3,3,1,0.735
4299,12303,3,3,2,0.954
4299,34544,3,3,3,1.067
4299,43220,3,3,2,0.818
4301,10109,3,3,2,1.324
4301,44153,3,3,3,2.165
4384,5080,3,3,1,0.634
4384,7436,3,3,2,0.476
4384,22509,3,3,1,0.569
4384,42427,3,3,1,0.424
4398,4610,3,3,2,1.998
4398,18006,3,3,3,3.216
4509,11548,3,3,2,1.493
4509,50145,3,3,3,2.338
4597,17289,3,3,2,1.055
4597,35378,3,3,2,1.156
4597,36173,3,3,1,0.429
4610,4398,3,3,2,1.998
4610,30461,3,3,2,1.753
4636,26775,3,3,1,0.361
4636,27777,3,3,1,0.605
5080,4384,3,3,1,0.634
5080,31544,3,3,1,1.155
5300,38699,3,3,2,1.599
5300,45546,3,3,1,1.153
5334,31535,3,3,1,0.859
5334,43634,3,3,2,0.52
5352,5352,3,3,1,0
5352,7067,3,3,1,0.848
5352,29725,3,3,2,0.577
5352,43976,3,3,1,0.276
5397,5397,3,3,1,0
5397,12281,3,3,2,0.956
5397,13745,3,3,1,0.924
5397,25410,3,3,3,2.305
5397,35082,3,3,2,0.764
5397,42918,3,3,2,0.788
5523,6376,3,3,1,0.834
5523,32625,3,3,2,0.934
5523,42250,3,3,1,0.638
5649,24040,3,3,1,0.677
5649,40860,3,3,1,0.55
5653,6779,3,3,2,0.761
5653,14403,3,3,2,1.31
5719,6779,3,3,3,0.972
5719,19823,3,3,1,0.715
5772,19699,3,3,2,1.755
5772,39563,3,3,3,1.484
5841,17272,3,3,2,1.082
5841,35816,3,3,2,0.865
5848,32102,3,3,1,0.529
5848,35665,3,3,1,0.622
6193,24324,3,3,2,0.995
6193,45433,3,3,2,1.113
6194,26371,3,3,2,1.041
6279,7920,3,3,3,1.011
6279,16241,3,3,1,0.441
6376,5523,3,3,2,0.834
6376,9772,3,3,2,1.158
6534,50442,3,3,3,1.418
6675,11215,3,3,2,0.999
6675,27851,3,3,2,1.525
6776,35633,3,3,2,1.474
6776,35871,3,3,2,1.88
6779,5653,3,3,1,0.761
6779,5719,3,3,2,0.972
6779,9014,3,3,1,0.79
6779,35458,3,3,3,1.552
6855,18664,3,3,1,1.127
6855,21810,3,3,2,0.866
6997,8156,3,3,1,0.452
6997,15792,3,3,1,1.096
7067,5352,3,3,1,0.848
7067,26775,3,3,1,0.388
7067,29725,3,3,4,0.957
7125,8582,3,3,1,0.698
7125,37895,3,3,1,0.618
7125,42945,3,3,2,0.664
7125,115099,3,3,2,0.571
7132,3498,3,3,2,1.284
7132,48582,3,3,2,0.848
7300,1133,3,3,3,1.861
7300,2175,3,3,3,2.175
7300,31322,3,3,3,1.924
7300,35458,3,3,1,0.735
7300,42945,3,3,2,0.952
7300,47462,3,3,2,1.347
7421,34492,3,3,1,0.276
7421,41437,3,3,1,0.251
7436,4384,3,3,2,0.476
7458,7458,3,3,1,0
7458,27197,3,3,2,0.89
7458,35082,3,3,2,1.727
7458,35743,3,3,1,1.068
7458,38648,3,3,2,0.549
7458,48582,3,3,3,1.739
7508,42319,3,3,1,0.45
7568,7568,3,3,1,0
7568,20634,3,3,1,0.684
7568,33060,3,3,1,0.327
7580,33050,3,3,3,1.475
7580,49626,3,3,2,1.014
7757,2537,3,3,2,1.191
7757,7757,3,3,2,0
7757,14170,3,3,2,1.376
7757,45143,3,3,2,1.119
7916,23017,3,3,3,0.998
7916,29635,3,3,2,1.025
7916,42250,3,3,2,0.924
7920,6279,3,3,2,1.011
7920,12303,3,3,6,4.028
7920,21191,3,3,1,0.818
7920,28894,3,3,2,0.799
7920,39563,3,3,4,2.094
8032,42250,3,3,1,0.697
8032,48219,3,3,1,0.852
8116,13258,3,3,3,2.235
8116,50899,3,3,2,0.904
8156,6997,3,3,1,0.452
8156,48217,3,3,1,0.557
8255,22356,3,3,1,0.533
8255,36398,3,3,1,0.458
8360,28894,3,3,1,0.684
8360,39563,3,3,1,0.612
8463,30232,3,3,2,1.737
8463,38751,3,3,3,1.243
8554,21751,3,3,20,4.508
8554,39278,3,3,15,3.36
8582,7125,3,3,2,0.698
8582,35735,3,3,1,0.804
8582,35743,3,3,1,1.009
8582,48020,3,3,1,0.537
8632,507,3,3,1,0.538
8632,12303,3,3,3,1.877
8827,8827,3,3,1,0
8827,10977,3,3,3,1.35
8827,13725,3,3,1,0.693
8827,14649,3,3,1,0.747
8827,41437,3,3,1,1.057
8995,17736,3,3,2,0.847
8995,38290,3,3,1,1.001
9007,16549,3,3,1,0.855
9007,35000,3,3,2,0.895
9011,1163,3,3,2,1.297
9011,41082,3,3,2,1.325
9014,6779,3,3,2,0.79
9014,35458,3,3,2,0.799
9028,20532,3,3,1,0.71
9028,35735,3,3,2,0.802
9028,35743,3,3,1,0.66
9032,47492,3,3,2,1.011
9032,49630,3,3,1,0.818
9056,9225,3,3,1,0.965
9056,13258,3,3,1,0.645
9056,183138,3,3,1,0.665
9225,9056,3,3,1,0.965
9225,25410,3,3,2,1.191
9684,9772,3,3,1,0.645
9684,16192,3,3,2,1.289
9684,20532,3,3,2,0.947
9684,35735,3,3,1,0.549
9688,12153,3,3,1,0.408
9688,29738,3,3,1,0.707
9703,27423,3,3,2,1.46
9772,6376,3,3,1,1.158
9772,9684,3,3,1,0.645
9861,26372,3,3,2,1.307
9861,42656,3,3,1,0.888
9862,18467,3,3,2,0.808
9862,21715,3,3,1,1.398
10028,19949,3,3,1,0.498
10028,34450,3,3,2,1.205
10109,4301,3,3,2,1.324
10109,18367,3,3,2,1.727
10109,30461,3,3,2,2.358
10110,25881,3,3,3,1.289
10110,37627,3,3,1,0.932
10202,25380,3,3,2,0.539
10202,35879,3,3,1,0.482
10756,24315,3,3,2,1.667
10756,40447,3,3,1,1.708
10788,44164,3,3,2,1.247
10788,49356,3,3,1,0.67
10843,1481,3,3,3,2.846
10843,20998,3,3,3,2.994
10848,34572,3,3,2,1.042
10848,46771,3,3,1,0.631
10918,21586,3,3,2,1.468
10918,48101,3,3,2,1.169
10977,8827,3,3,2,1.35
10977,10977,3,3,1,0
10977,36382,3,3,2,0.353
11215,6675,3,3,2,0.999
11215,23543,3,3,2,1.361
11341,13621,3,3,1,0.844
11341,30353,3,3,2,1.122
11548,4509,3,3,2,1.493
11548,26371,3,3,2,1.254
11684,12708,3,3,1,0.388
11684,24900,3,3,1,0.339
11784,19949,3,3,1,0.499
11784,40648,3,3,2,1.11
11946,11946,3,3,1,0
11946,50009,3,3,3,1.78
11979,13621,3,3,1,0.621
11979,41569,3,3,2,1.305
12052,23017,3,3,1,0.575
12052,49070,3,3,2,0.776
12135,41140,3,3,1,0.405
12135,47221,3,3,1,0.38
12153,1625,3,3,1,0.598
12153,9688,3,3,1,0.408
12162,26062,3,3,2,0.66
12281,1133,3,3,1,1.652
12281,5397,3,3,2,0.956
12281,12281,3,3,2,0
12281,23871,3,3,1,0.999
12281,42795,3,3,2,0.705
12281,42918,3,3,2,0.726
12281,49377,3,3,3,2.063
12303,4299,3,3,2,0.954
12303,7920,3,3,6,4.028
12303,8632,3,3,3,1.877
12303,39563,3,3,3,1.994
12303,44087,3,3,2,1.273
12495,39932,3,3,2,1.424
12507,24686,3,3,2,1.776
12507,110674,3,3,2,1.729
12626,1163,3,3,2,1.042
12626,29288,3,3,1,0.632
12678,29683,3,3,2,0.979
12678,39687,3,3,2,1.099
12690,39977,3,3,1,0.54
12690,228492,3,3,2,0.577
12708,11684,3,3,1,0.388
12708,12708,3,3,1,0
12708,35449,3,3,1,0.547
12764,22447,3,3,2,0.9
12764,34946,3,3,2,1.253
12805,42849,3,3,2,0.914
12805,44249,3,3,2,1.158
12868,13248,3,3,3,2.097
12953,808,3,3,3,2.128
12953,46226,3,3,2,1.57
12976,12976,3,3,1,0
12976,36382,3,3,2,0.591
12976,47835,3,3,1,0.554
13248,12868,3,3,3,2.097
13248,26703,3,3,2,1.066
13258,1426,3,3,1,0.542
13258,8116,3,3,3,2.235
13258,9056,3,3,1,0.645
13258,13258,3,3,1,0
13258,19542,3,3,3,1.832
13258,183138,3,3,1,0.307
13265,20464,3,3,1,0.58
13265,35879,3,3,2,0.627
13509,2793,3,3,1,0.73
13509,30353,3,3,1,0.641
13547,30200,3,3,1,0.277
13547,47835,3,3,2,0.592
13594,15111,3,3,1,0.737
13594,37923,3,3,1,0.513
13615,13615,3,3,1,0
13615,13947,3,3,1,0.394
13615,34487,3,3,3,0.443
13621,11341,3,3,1,0.844
13621,11979,3,3,1,0.621
13658,15074,3,3,1,0.317
13658,31639,3,3,1,0.601
13725,8827,3,3,1,0.693
13745,5397,3,3,2,0.924
13745,32223,3,3,1,0.774
13745,37895,3,3,2,0.819
13947,13615,3,3,1,0.394
13947,13947,3,3,1,0
13947,17541,3,3,1,0.61
14036,35378,3,3,2,1.183
14036,39609,3,3,2,0.828
14127,21810,3,3,2,0.732
14127,31535,3,3,1,0.673
14170,14170,3,3,1,0
14170,23020,3,3,1,0.641
14170,45143,3,3,2,0.919
14403,5653,3,3,2,1.31
14403,36512,3,3,2,1.185
14550,19516,3,3,2,1.063
14550,39977,3,3,1,0.642
14649,8827,3,3,1,0.747
14695,2837,3,3,2,1.469
14695,39791,3,3,2,1.61
14838,32347,3,3,2,1.155
14838,39759,3,3,2,1.667
15074,13658,3,3,1,0.317
15074,43875,3,3,1,0.305
15111,13594,3,3,1,0.737
15111,43946,3,3,1,0.552
15342,1065,3,3,2,0.891
15342,56274,3,3,2,1.004
15613,30971,3,3,3,1.817
15613,42919,3,3,2,1.135
15686,34450,3,3,2,1.155
15686,40860,3,3,2,0.99
15792,6997,3,3,1,1.096
15792,15792,3,3,1,0
15792,31964,3,3,1,0.765
15869,2951,3,3,4,2.438
15869,18139,3,3,3,1.698
15907,16241,3,3,1,0.428
15907,35851,3,3,1,0.621
15938,40516,3,3,2,1.164
15938,48252,3,3,2,1.436
16094,21587,3,3,1,0.617
16094,46316,3,3,4,2.197
16192,9684,3,3,2,1.289
16192,16192,3,3,1,0
16192,18046,3,3,3,1.535
16192,20348,3,3,2,1.218
16192,32625,3,3,2,1.175
16192,38862,3,3,1,0.558
16192,45024,3,3,5,3.381
16241,6279,3,3,1,0.441
16241,15907,3,3,1,0.428
16549,9007,3,3,1,0.855
16549,49608,3,3,2,1.763
16920,30332,3,3,4,3.289
16920,32927,3,3,3,3.311
16920,49616,3,3,8,5.399
17068,17068,3,3,1,0
17068,26062,3,3,1,0.652
17068,28144,3,3,2,0.827
17272,5841,3,3,2,1.082
17272,44153,3,3,2,1.277
17289,4597,3,3,1,1.055
17289,22866,3,3,2,0.472
17347,20603,3,3,1,0.773
17347,28622,3,3,2,0.632
17541,13947,3,3,1,0.61
17541,17541,3,3,1,0
17541,23003,3,3,2,0.762
17635,28622,3,3,2,1.001
17635,37627,3,3,3,2.22
17690,2537,3,3,2,1.074
17690,110674,3,3,1,0.829
17736,844,3,3,4,3.662
17736,8995,3,3,2,0.847
17736,25926,3,3,3,2.915
17739,30669,3,3,2,1.936
17739,34182,3,3,4,2.224
17739,35077,3,3,2,1.223
17866,17866,3,3,1,0
17866,43009,3,3,1,0.529
17866,43875,3,3,1,0.335
17890,27342,3,3,1,1.212
17890,36989,3,3,1,0.459
18006,759,3,3,2,2.542
18006,4398,3,3,3,3.216
18045,27197,3,3,2,0.801
18045,47492,3,3,2,0.832
18046,16192,3,3,3,1.535
18046,40127,3,3,2,0.839
18139,15869,3,3,3,1.698
18139,39219,3,3,3,1.911
18367,531,3,3,2,1.311
18367,10109,3,3,2,1.727
18422,44808,3,3,3,2.106
18422,51294,3,3,2,1.151
18467,9862,3,3,2,0.808
18467,45024,3,3,1,0.631
18664,3140,3,3,1,0.853
18664,6855,3,3,2,1.127
18664,18664,3,3,1,0
18835,3498,3,3,2,1.01
18835,32238,3,3,1,0.576
19176,25881,3,3,2,1.355
19176,30232,3,3,3,1.798
19516,14550,3,3,1,1.063
19542,291,3,3,2,1.507
19542,13258,3,3,2,1.832
19677,725,3,3,1,0.498
19677,23566,3,3,2,1.315
19699,5772,3,3,2,1.755
19699,33810,3,3,4,1.93
19823,5719,3,3,1,0.715
19823,39219,3,3,2,0.975
19949,10028,3,3,1,0.498
19949,11784,3,3,1,0.499
20055,20055,3,3,1,0
20055,22866,3,3,1,0.582
20055,28144,3,3,1,0.667
20299,43634,3,3,1,0.873
20299,227377,3,3,1,0.519
20348,16192,3,3,2,1.218
20348,35458,3,3,1,0.936
20348,35735,3,3,2,0.959
20464,13265,3,3,2,0.58
20464,33742,3,3,1,0.444
20532,9028,3,3,1,0.71
20532,9684,3,3,2,0.947
20532,27028,3,3,2,0.796
20532,27197,3,3,2,1.466
20532,35735,3,3,2,0.921
20532,47492,3,3,2,1.303
20603,17347,3,3,1,0.773
20603,31322,3,3,1,0.588
20620,2837,3,3,3,2.777
20620,22096,3,3,2,0.966
20620,33623,3,3,1,0.621
20620,49377,3,3,2,1.528
20634,7568,3,3,1,0.684
20634,20634,3,3,1,0
20634,34487,3,3,2,0.545
20981,40835,3,3,2,1.671
20998,844,3,3,2,1.573
20998,10843,3,3,3,2.994
21007,44092,3,3,1,0.371
21044,33679,3,3,1,0.837
21044,42949,3,3,1,0.796
21083,25276,3,3,2,1.416
21083,49608,3,3,2,1.084
21191,7920,3,3,2,0.818
21191,23017,3,3,3,1.399
21191,44082,3,3,1,0.47
21311,43946,3,3,2,0.719
21311,47260,3,3,2,1.386
21586,10918,3,3,3,1.468
21586,46321,3,3,1,0.558
21587,16094,3,3,1,0.617
21587,47221,3,3,1,0.586
21614,34508,3,3,10,3.277
21614,40004,3,3,5,1.054
21715,598,3,3,2,1.25
21715,9862,3,3,2,1.398
21751,8554,3,3,15,4.508
21810,6855,3,3,1,0.866
21810,14127,3,3,1,0.732
21956,194,3,3,3,1.606
21956,27855,3,3,2,1.29
22096,20620,3,3,2,0.966
22096,29173,3,3,3,0.902
22119,25516,3,3,2,0.819
22119,32573,3,3,1,0.517
22331,26777,3,3,2,1.226
22331,39932,3,3,2,1.303
22356,8255,3,3,1,0.533
22356,29738,3,3,1,0.387
22405,30363,3,3,2,0.878
22405,35082,3,3,1,0.657
22447,12764,3,3,2,0.9
22447,40835,3,3,2,1.414
22509,4384,3,3,1,0.569
22509,35000,3,3,2,1.647
22546,373,3,3,3,1.928
22546,33973,3,3,1,0.72
22548,291,3,3,1,0.883
22548,35835,3,3,1,0.354
22866,17289,3,3,2,0.472
22866,20055,3,3,2,0.582
22866,22866,3,3,2,0
22977,33742,3,3,1,0.691
22977,41111,3,3,2,0.972
22977,228492,3,3,2,0.909
23003,17541,3,3,1,0.762
23003,31639,3,3,2,0.399
23017,7916,3,3,3,0.998
23017,12052,3,3,1,0.575
23017,21191,3,3,3,1.399
23017,29635,3,3,1,0.782
23017,35084,3,3,3,1.34
23017,44082,3,3,2,0.933
23020,7757,3,3,2,1.089
23449,1481,3,3,2,1.278
23449,29097,3,3,1,0.754
23504,32102,3,3,2,0.922
23507,48937,3,3,3,2.035
23543,11215,3,3,3,1.361
23543,32505,3,3,3,1.439
23547,24315,3,3,2,2.244
23547,32347,3,3,3,2.392
23566,19677,3,3,2,1.315
23566,36993,3,3,2,0.884
23577,24900,3,3,1,0.275
23577,48466,3,3,1,0.269
23578,44269,3,3,2,0.774
23578,227377,3,3,1,0.59
23690,23690,3,3,1,0
23690,31964,3,3,1,1.111
23737,33817,3,3,2,0.44
23737,39652,3,3,2,0.362
23871,12281,3,3,1,0.999
23871,47462,3,3,2,1.337
23989,49981,3,3,2,0.943
23989,179201,3,3,2,1.096
24040,5649,3,3,1,0.677
24040,24044,3,3,2,0.523
24044,24040,3,3,2,0.523
24044,29271,3,3,2,0.928
24315,10756,3,3,2,1.667
24315,23547,3,3,2,2.244
24324,6193,3,3,2,0.995
24324,39927,3,3,2,0.704
24578,27779,3,3,2,0.882
24578,56274,3,3,2,1.712
24686,12507,3,3,2,1.776
24686,27779,3,3,1,0.845
24900,11684,3,3,2,0.339
24900,23577,3,3,1,0.275
25276,21083,3,3,2,1.416
25276,50616,3,3,2,1.362
25303,31540,3,3,3,2.273
25303,37877,3,3,2,1.465
25303,42596,3,3,5,4.364
25303,45024,3,3,7,6.788
25303,50848,3,3,3,2.403
25380,10202,3,3,2,0.539
25380,25380,3,3,2,0
25380,37188,3,3,2,0.825
25410,5397,3,3,3,2.305
25410,9225,3,3,1,1.191
25410,42918,3,3,3,1.517
25500,28261,3,3,1,0.334
25500,43976,3,3,1,0.268
25515,30789,3,3,1,0.734
25515,34764,3,3,2,0.65
25516,22119,3,3,1,0.819
25516,35665,3,3,2,0.623
25525,43009,3,3,1,0.456
25881,10110,3,3,2,1.289
25881,19176,3,3,3,1.355
25926,17736,3,3,4,2.915
25926,41749,3,3,2,1.761
26062,12162,3,3,2,0.66
26062,17068,3,3,2,0.652
26119,32505,3,3,2,0.954
26119,44267,3,3,2,0.945
26344,2793,3,3,1,1.21
26344,42427,3,3,1,0.817
26371,6194,3,3,1,1.041
26371,11548,3,3,2,1.254
26372,9861,3,3,2,1.307
26372,42943,3,3,2,1.17
26703,13248,3,3,2,1.066
26703,26837,3,3,3,1.733
26775,4636,3,3,1,0.361
26775,7067,3,3,1,0.388
26777,22331,3,3,1,1.226
26777,28622,3,3,4,2.937
26837,26703,3,3,2,1.733
26837,42919,3,3,1,0.649
27028,20532,3,3,2,0.796
27028,47470,3,3,1,0.577
27197,7458,3,3,2,0.89
27197,18045,3,3,1,0.801
27197,20532,3,3,2,1.466
27197,35743,3,3,2,0.725
27342,17890,3,3,1,1.212
27342,38294,3,3,4,1.73
27369,33514,3,3,3,1.546
27369,41142,3,3,2,1.259
27423,33260,3,3,4,2.445
27777,4636,3,3,2,0.605
27777,35664,3,3,1,0.488
27779,24578,3,3,2,0.882
27779,24686,3,3,1,0.845
27851,6675,3,3,2,1.525
27851,34946,3,3,2,1.689
27855,21956,3,3,2,1.29
27855,50616,3,3,1,0.614
28144,17068,3,3,2,0.827
28144,20055,3,3,2,0.667
28163,41570,3,3,2,1.106
28207,34186,3,3,2,1.866
28207,44398,3,3,1,1.08
28241,35816,3,3,1,1.158
28241,49054,3,3,2,1.11
28259,1625,3,3,2,0.567
28261,25500,3,3,1,0.334
28261,36398,3,3,1,0.436
28622,2175,3,3,2,2.02
28622,17347,3,3,1,0.632
28622,17635,3,3,2,1.001
28622,26777,3,3,4,2.937
28894,7920,3,3,2,0.799
28894,8360,3,3,1,0.684
29043,33060,3,3,1,0.438
29043,48466,3,3,2,0.337
29096,30971,3,3,3,1.718
29096,35633,3,3,2,1.354
29097,23449,3,3,2,0.754
29097,36943,3,3,2,0.685
29173,22096,3,3,2,0.902
29173,42795,3,3,2,1.148
29271,25380,3,3,2,0.755
29271,29271,3,3,1,0
29288,12626,3,3,1,0.632
29288,41749,3,3,2,1.902
29611,136423,3,3,40,15.286
29635,7916,3,3,2,1.025
29635,23017,3,3,1,0.782
29635,39602,3,3,1,0.588
29664,3767,3,3,1,0.432
29664,29725,3,3,1,0.906
29680,29683,3,3,2,1.075
29680,49626,3,3,2,1.247
29683,12678,3,3,2,0.979
29683,29680,3,3,2,1.075
29725,5352,3,3,2,0.577
29725,29664,3,3,1,0.906
29725,29725,3,3,1,0
29738,9688,3,3,1,0.707
29738,22356,3,3,1,0.387
29859,14036,3,3,2,1.392
29859,31762,3,3,1,0.423
29968,31544,3,3,1,1.085
29968,38290,3,3,1,1.197
30086,194,3,3,2,2.022
30086,31347,3,3,1,0.689
30200,13547,3,3,1,0.277
30232,8463,3,3,2,1.737
30232,19176,3,3,4,1.798
30332,1231,3,3,4,3.47
30332,16920,3,3,4,3.289
30353,11341,3,3,2,1.122
30353,13509,3,3,1,0.641
30353,33679,3,3,2,1.117
30363,22405,3,3,2,0.878
30363,38648,3,3,2,1.078
30363,48582,3,3,2,0.805
30443,32647,3,3,2,0.937
30443,34874,3,3,2,0.94
30461,4610,3,3,2,1.753
30461,10109,3,3,2,2.358
30485,320,3,3,1,0.657
30590,52720,3,3,10,4.834
30669,35077,3,3,1,0.712
30669,36943,3,3,1,0.691
30738,33623,3,3,2,0.967
30738,42656,3,3,2,1.24
30789,25515,3,3,1,0.734
30971,15613,3,3,2,1.817
30971,29096,3,3,3,1.718
30971,39205,3,3,2,1.324
30974,32625,3,3,2,0.874
30974,40510,3,3,2,0.878
31168,2951,3,3,2,0.986
31168,9703,3,3,2,0.975
31322,7300,3,3,3,1.924
31322,20603,3,3,1,0.588
31337,33745,3,3,1,0.62
31337,50317,3,3,1,0.865
31347,30086,3,3,1,0.689
31347,44398,3,3,1,1.127
31457,3767,3,3,1,0.619
31457,43018,3,3,1,0.691
31511,50317,3,3,1,0.469
31511,183138,3,3,2,0.475
31535,5334,3,3,1,0.859
31535,14127,3,3,2,0.673
31540,598,3,3,1,0.776
31540,25303,3,3,3,2.273
31544,5080,3,3,1,1.155
31544,29968,3,3,1,1.085
31639,13658,3,3,2,0.601
31639,23003,3,3,1,0.399
31762,29859,3,3,2,0.423
31762,35378,3,3,1,0.787
31964,15792,3,3,2,0.765
31964,23690,3,3,1,1.111
32102,5848,3,3,1,0.529
32102,23504,3,3,2,0.922
32217,3498,3,3,2,1.147
32223,13745,3,3,2,0.774
32223,35743,3,3,2,0.799
32238,18835,3,3,1,0.576
32238,39687,3,3,2,1.195
32347,14838,3,3,1,1.155
32347,23547,3,3,3,2.392
32347,45075,3,3,2,1.589
32451,1380,3,3,3,1.462
32451,34385,3,3,2,1.608
32505,23543,3,3,3,1.439
32505,26119,3,3,1,0.954
32573,3986,3,3,1,0.568
32573,22119,3,3,1,0.517
32625,4251,3,3,2,0.896
32625,5523,3,3,2,0.934
32625,16192,3,3,2,1.175
32625,30974,3,3,1,0.874
32625,38862,3,3,1,0.629
32647,30443,3,3,2,0.937
32647,49070,3,3,2,0.664
